"INICIO_SINTOMAS","TERRITORIO","CASOS"
2020-03-17,"cs_saco_grande",12
2020-03-17,"cs_trindade",8
2020-03-18,"cs_abraao",4
2020-03-18,"cs_agronomica",8
2020-03-18,"cs_barra_da_lagoa",4
2020-03-18,"cs_cachoeira_do_bom_jesus",4
2020-03-18,"cs_centro",22
2020-03-18,"cs_costeira_do_pirajubae",1
2020-03-18,"cs_estreito",4
2020-03-18,"cs_ingleses",4
2020-03-18,"cs_itacorubi",8
2020-03-18,"cs_monte_cristo",4
2020-03-18,"cs_pantanal",10
2020-03-18,"cs_ponta_das_canas",4
2020-03-18,"cs_rio_tavares",4
2020-03-18,"cs_trindade",4
2020-03-18,"cs_vargem_pequena",4
2020-03-19,"cs_abraao",4
2020-03-19,"cs_agronomica",4
2020-03-19,"cs_caieira_da_barra_do_sul",4
2020-03-19,"cs_canasvieiras",4
2020-03-19,"cs_capoeiras",4
2020-03-19,"cs_carianos",4
2020-03-19,"cs_centro",20
2020-03-19,"cs_coqueiros",4
2020-03-19,"cs_corrego_grande",1
2020-03-19,"cs_estreito",4
2020-03-19,"cs_fazenda_do_rio_tavares",4
2020-03-19,"cs_itacorubi",4
2020-03-19,"cs_joao_paulo",4
2020-03-19,"cs_ponta_das_canas",4
2020-03-19,"cs_ratones",4
2020-03-19,"cs_saco_grande",4
2020-03-19,"cs_santo_antonio_de_lisboa",8
2020-03-19,"cs_trindade",4
2020-03-20,"cs_abraao",4
2020-03-20,"cs_agronomica",8
2020-03-20,"cs_armacao",4
2020-03-20,"cs_campeche",4
2020-03-20,"cs_centro",36
2020-03-20,"cs_coloninha",4
2020-03-20,"cs_corrego_grande",4
2020-03-20,"cs_estreito",8
2020-03-20,"cs_ingleses",12
2020-03-20,"cs_itacorubi",1
2020-03-20,"cs_jurere",8
2020-03-20,"cs_lagoa_da_conceicao",4
2020-03-20,"cs_monte_serrat",4
2020-03-20,"cs_pantanal",16
2020-03-20,"cs_prainha",4
2020-03-20,"cs_rio_tavares",4
2020-03-20,"cs_saco_dos_limoes",4
2020-03-20,"cs_santinho",4
2020-03-20,"cs_santo_antonio_de_lisboa",4
2020-03-20,"cs_trindade",4
2020-03-21,"cs_agronomica",4
2020-03-21,"cs_cachoeira_do_bom_jesus",4
2020-03-21,"cs_centro",4
2020-03-21,"cs_coqueiros",4
2020-03-21,"cs_estreito",4
2020-03-21,"cs_ingleses",4
2020-03-21,"cs_itacorubi",8
2020-03-21,"cs_joao_paulo",4
2020-03-21,"cs_saco_dos_limoes",4
2020-03-22,"cs_abraao",8
2020-03-22,"cs_agronomica",8
2020-03-22,"cs_armacao",4
2020-03-22,"cs_balneario",4
2020-03-22,"cs_barra_da_lagoa",4
2020-03-22,"cs_centro",20
2020-03-22,"cs_estreito",4
2020-03-22,"cs_ingleses",4
2020-03-22,"cs_itacorubi",4
2020-03-22,"cs_monte_cristo",4
2020-03-22,"cs_ponta_das_canas",4
2020-03-22,"cs_prainha",4
2020-03-22,"cs_saco_dos_limoes",4
2020-03-22,"cs_trindade",4
2020-03-23,"cs_campeche",4
2020-03-23,"cs_capoeiras",4
2020-03-23,"cs_centro",20
2020-03-23,"cs_coloninha",4
2020-03-23,"cs_itacorubi",4
2020-03-23,"cs_joao_paulo",4
2020-03-23,"cs_novo_continente",4
2020-03-23,"cs_pantanal",4
2020-03-23,"cs_rio_tavares",4
2020-03-23,"cs_santo_antonio_de_lisboa",4
2020-03-23,"cs_trindade",4
2020-03-24,"cs_coqueiros",4
2020-03-24,"cs_costeira_do_pirajubae",4
2020-03-24,"cs_fazenda_do_rio_tavares",4
2020-03-24,"cs_ingleses",4
2020-03-24,"cs_jardim_atlantico",4
2020-03-24,"cs_joao_paulo",4
2020-03-24,"cs_jurere",8
2020-03-24,"cs_lagoa_da_conceicao",4
2020-03-24,"cs_santo_antonio_de_lisboa",4
2020-03-24,"cs_trindade",4
2020-03-25,"cs_agronomica",4
2020-03-25,"cs_capoeiras",0
2020-03-25,"cs_centro",4
2020-03-25,"cs_corrego_grande",8
2020-03-25,"cs_estreito",4
2020-03-25,"cs_ingleses",8
2020-03-25,"cs_itacorubi",4
2020-03-25,"cs_monte_cristo",4
2020-03-25,"cs_monte_serrat",4
2020-03-25,"cs_pantanal",4
2020-03-25,"cs_santo_antonio_de_lisboa",4
2020-03-25,"cs_trindade",8
2020-03-26,"cs_abraao",8
2020-03-26,"cs_capoeiras",4
2020-03-26,"cs_centro",12
2020-03-26,"cs_coqueiros",0
2020-03-26,"cs_itacorubi",4
2020-03-26,"cs_lagoa_da_conceicao",4
2020-03-26,"cs_monte_serrat",4
2020-03-26,"cs_pantanal",4
2020-03-26,"cs_ponta_das_canas",4
2020-03-26,"cs_saco_dos_limoes",4
2020-03-26,"cs_santo_antonio_de_lisboa",4
2020-03-26,"cs_trindade",12
2020-03-27,"cs_abraao",4
2020-03-27,"cs_agronomica",16
2020-03-27,"cs_centro",36
2020-03-27,"cs_estreito",4
2020-03-27,"cs_itacorubi",4
2020-03-27,"cs_monte_serrat",4
2020-03-27,"cs_rio_vermelho",4
2020-03-27,"cs_tapera",8
2020-03-27,"cs_trindade",8
2020-03-28,"cs_abraao",4
2020-03-28,"cs_agronomica",1
2020-03-28,"cs_centro",18
2020-03-28,"cs_coqueiros",1
2020-03-28,"cs_costeira_do_pirajubae",4
2020-03-28,"cs_ingleses",8
2020-03-28,"cs_joao_paulo",6
2020-03-28,"cs_monte_serrat",4
2020-03-28,"cs_pantanal",8
2020-03-28,"cs_prainha",4
2020-03-28,"cs_saco_dos_limoes",4
2020-03-28,"cs_trindade",8
2020-03-29,"cs_abraao",8
2020-03-29,"cs_balneario",8
2020-03-29,"cs_centro",8
2020-03-29,"cs_estreito",4
2020-03-29,"cs_ingleses",4
2020-03-29,"cs_monte_serrat",4
2020-03-29,"cs_pantanal",4
2020-03-29,"cs_saco_grande",4
2020-03-29,"cs_sape",4
2020-03-29,"cs_trindade",8
2020-03-30,"cs_agronomica",4
2020-03-30,"cs_balneario",4
2020-03-30,"cs_capoeiras",4
2020-03-30,"cs_centro",10
2020-03-30,"cs_estreito",4
2020-03-30,"cs_jurere",4
2020-03-30,"cs_monte_serrat",4
2020-03-30,"cs_santo_antonio_de_lisboa",8
2020-03-30,"cs_vargem_grande",4
2020-03-31,"cs_alto_ribeirao",4
2020-03-31,"cs_balneario",4
2020-03-31,"cs_centro",4
2020-03-31,"cs_novo_continente",4
2020-03-31,"cs_rio_tavares",4
2020-03-31,"cs_rio_vermelho",4
2020-03-31,"cs_saco_grande",4
2020-04-01,"cs_abraao",4
2020-04-01,"cs_agronomica",12
2020-04-01,"cs_centro",26
2020-04-01,"cs_ingleses",6
2020-04-01,"cs_jurere",4
2020-04-01,"cs_monte_serrat",4
2020-04-01,"cs_morro_das_pedras",4
2020-04-01,"cs_pantanal",4
2020-04-01,"cs_rio_tavares",4
2020-04-01,"cs_tapera",4
2020-04-01,"cs_trindade",12
2020-04-02,"cs_abraao",4
2020-04-02,"cs_agronomica",4
2020-04-02,"cs_capoeiras",4
2020-04-02,"cs_centro",8
2020-04-02,"cs_jardim_atlantico",0
2020-04-02,"cs_monte_cristo",4
2020-04-02,"cs_tapera",12
2020-04-03,"cs_agronomica",4
2020-04-03,"cs_barra_da_lagoa",4
2020-04-03,"cs_centro",4
2020-04-03,"cs_ingleses",4
2020-04-03,"cs_itacorubi",4
