"DATA","SUSCETIVEIS_CENARIO_3","CUM_RECUPERADOS_CENARIO_3","EXPOSTOS_CENARIO_3","INFECTANTES_CENARIO_3","CUM_OBITOS_CENARIO_3","LEITOS_UTI_CENARIO_3","SUSCETIVEIS_CENARIO_1","CUM_RECUPERADOS_CENARIO_1","EXPOSTOS_CENARIO_1","INFECTANTES_CENARIO_1","CUM_OBITOS_CENARIO_1","LEITOS_UTI_CENARIO_1","SUSCETIVEIS_CENARIO_2","CUM_RECUPERADOS_CENARIO_2","EXPOSTOS_CENARIO_2","INFECTANTES_CENARIO_2","CUM_OBITOS_CENARIO_2","LEITOS_UTI_CENARIO_2"
2020-03-18,500664,157,25,127,0,1,500664,157,25,127,0,1,500664,157,25,127,0,1
2020-03-19,500652,167,26,128,0,1,500652,167,26,128,0,1,500652,167,26,128,0,1
2020-03-20,500639,178,26,130,0,2,500639,178,26,130,0,2,500639,178,26,130,0,2
2020-03-21,500626,189,26,132,0,2,500626,189,26,132,0,2,500626,189,26,132,0,2
2020-03-22,500613,200,26,134,0,3,500613,200,26,134,0,3,500613,200,26,134,0,3
2020-03-23,500600,211,26,136,0,3,500600,211,26,136,0,3,500600,211,26,136,0,3
2020-03-24,500588,222,26,137,0,3,500588,222,26,137,0,3,500588,222,26,137,0,3
2020-03-25,500575,234,26,138,0,4,500575,234,26,138,0,4,500575,234,26,138,0,4
2020-03-26,500562,246,26,139,0,4,500562,246,26,139,0,4,500562,246,26,139,0,4
2020-03-27,500549,258,26,140,0,5,500549,258,26,140,0,5,500549,258,26,140,0,5
2020-03-28,500536,270,26,141,0,5,500536,270,26,141,0,5,500536,270,26,141,0,5
2020-03-29,500523,282,26,142,0,6,500523,282,26,142,0,6,500523,282,26,142,0,6
2020-03-30,500510,294,26,143,0,7,500510,294,26,143,0,7,500510,294,26,143,0,7
2020-03-31,500498,305,26,143,1,9,500498,305,26,143,1,9,500498,305,26,143,1,9
2020-04-01,500485,318,26,143,1,8,500485,318,26,143,1,8,500485,318,26,143,1,8
2020-04-02,500472,330,26,143,2,8,500472,330,26,143,2,8,500472,330,26,143,2,8
2020-04-03,500459,343,26,143,2,8,500459,343,26,143,2,8,500459,343,26,143,2,8
2020-04-04,500447,356,25,143,2,8,500447,356,25,143,2,8,500447,356,25,143,2,8
2020-04-05,500435,369,24,143,2,10,500435,369,24,143,2,10,500435,369,24,143,2,10
2020-04-06,500423,382,24,142,2,10,500423,382,24,142,2,10,500423,382,24,142,2,10
2020-04-07,500412,394,23,141,3,10,500412,394,23,141,3,10,500412,394,23,141,3,10
2020-04-08,500401,407,22,140,3,9,500401,407,22,140,3,9,500401,407,22,140,3,9
2020-04-09,500391,420,21,138,3,8,500391,420,21,138,3,8,500391,420,21,138,3,8
2020-04-10,500381,433,20,136,3,8,500381,433,20,136,3,8,500381,433,20,136,3,8
2020-04-11,500372,446,19,133,3,9,500372,446,19,133,3,9,500372,446,19,133,3,9
2020-04-12,500363,459,18,130,3,8,500363,459,18,130,3,8,500363,459,18,130,3,8
2020-04-13,500355,472,17,126,3,8,500355,472,17,126,3,8,500355,472,17,126,3,8
2020-04-14,500347,485,16,122,3,7,500347,485,16,122,3,7,500347,485,16,122,3,7
2020-04-15,500339,498,16,117,3,7,500339,498,16,117,3,7,500339,498,16,117,3,7
2020-04-16,500332,511,15,112,3,6,500332,511,15,112,3,6,500332,511,15,112,3,6
2020-04-17,500324,524,14,108,3,6,500324,524,14,108,3,6,500324,524,14,108,3,6
2020-04-18,500317,536,14,103,3,5,500317,536,14,103,3,5,500317,536,14,103,3,5
2020-04-19,500310,548,14,98,3,5,500310,548,14,98,3,5,500310,548,14,98,3,5
2020-04-20,500302,560,14,94,3,5,500302,560,14,94,3,5,500302,560,14,94,3,5
2020-04-21,500295,570,14,90,4,5,500295,570,14,90,4,5,500295,570,14,90,4,5
2020-04-22,500287,581,14,87,4,4,500287,581,14,87,4,4,500287,581,14,87,4,4
2020-04-23,500280,591,14,84,4,3,500280,591,14,84,4,3,500280,591,14,84,4,3
2020-04-24,500272,600,14,82,5,3,500272,600,14,82,5,3,500272,600,14,82,5,3
2020-04-25,500265,609,14,80,5,3,500265,609,14,80,5,3,500265,609,14,80,5,3
2020-04-26,500257,618,14,79,5,3,500257,618,14,79,5,3,500257,618,14,79,5,3
2020-04-27,500250,626,14,78,5,3,500250,626,14,78,5,3,500250,626,14,78,5,3
2020-04-28,500243,634,14,77,5,3,500243,634,14,77,5,3,500243,634,14,77,5,3
2020-04-29,500235,642,14,77,5,3,500235,642,14,77,5,3,500235,642,14,77,5,3
2020-04-30,500229,648,13,77,6,3,500229,648,13,77,6,3,500229,648,13,77,6,3
2020-05-01,500223,655,12,77,6,3,500223,655,12,77,6,3,500223,655,12,77,6,3
2020-05-02,500217,662,12,76,6,3,500217,662,12,76,6,3,500217,662,12,76,6,3
2020-05-03,500211,669,12,75,6,3,500211,669,12,75,6,3,500211,669,12,75,6,3
2020-05-04,500204,675,13,74,7,4,500204,675,13,74,7,4,500204,675,13,74,7,4
2020-05-05,500197,682,14,73,7,3,500197,682,14,73,7,3,500197,682,14,73,7,3
2020-05-06,500190,689,14,73,7,2,500190,689,14,73,7,2,500190,689,14,73,7,2
2020-05-07,500183,696,14,73,7,1,500183,696,14,73,7,1,500183,696,14,73,7,1
2020-05-08,500175,703,15,73,7,0,500175,703,15,73,7,0,500175,703,15,73,7,0
2020-05-09,500166,710,17,73,7,0,500166,710,17,73,7,0,500166,710,17,73,7,0
2020-05-10,500156,717,19,74,7,0,500156,717,19,74,7,0,500156,717,19,74,7,0
2020-05-11,500145,724,21,76,7,1,500145,724,21,76,7,1,500145,724,21,76,7,1
2020-05-12,500133,731,23,79,7,1,500133,731,23,79,7,1,500133,731,23,79,7,1
2020-05-13,500119,738,25,84,7,1,500119,738,25,84,7,1,500119,738,25,84,7,1
2020-05-14,500104,744,28,90,7,1,500104,744,28,90,7,1,500104,744,28,90,7,1
2020-05-15,500088,750,31,97,7,1,500088,750,31,97,7,1,500088,750,31,97,7,1
2020-05-16,500070,756,34,106,7,2,500070,756,34,106,7,2,500070,756,34,106,7,2
2020-05-17,500051,762,38,115,7,3,500051,762,38,115,7,3,500051,762,38,115,7,3
2020-05-18,500029,769,42,126,7,3,500029,769,42,126,7,3,500029,769,42,126,7,3
2020-05-19,500005,776,46,139,7,3,500005,776,46,139,7,3,500005,776,46,139,7,3
2020-05-20,499979,783,50,154,7,4,499979,783,50,154,7,4,499979,783,50,154,7,4
2020-05-21,499951,790,55,170,7,4,499951,790,55,170,7,4,499951,790,55,170,7,4
2020-05-22,499921,798,60,187,7,4,499921,798,60,187,7,4,499921,798,60,187,7,4
2020-05-23,499888,807,65,206,7,4,499888,807,65,206,7,4,499888,807,65,206,7,4
2020-05-24,499853,817,70,226,7,4,499853,817,70,226,7,4,499853,817,70,226,7,4
2020-05-25,499815,828,75,248,7,4,499815,828,75,248,7,4,499815,828,75,248,7,4
2020-05-26,499775,840,80,271,7,3,499775,840,80,271,7,3,499775,840,80,271,7,3
2020-05-27,499733,853,85,295,7,3,499733,853,85,295,7,3,499733,853,85,295,7,3
2020-05-28,499688,868,90,320,7,3,499688,868,90,320,7,3,499688,868,90,320,7,3
2020-05-29,499642,884,94,346,7,4,499642,884,94,346,7,4,499642,884,94,346,7,4
2020-05-30,499593,902,99,372,7,4,499593,902,99,372,7,4,499593,902,99,372,7,4
2020-05-31,499542,922,104,398,7,4,499542,922,104,398,7,4,499542,922,104,398,7,4
2020-06-01,499488,944,109,425,7,5,499488,944,109,425,7,5,499488,944,109,425,7,5
