"","Median","II.97.5","II.2.5"
"acc",0.857306151612031,0.90013842818705,0.814473875037011
"sensibility",0.896373322606067,0.926769337647254,0.86597730756488
"specificity",0.818238038546877,0.873508450119411,0.762967626974344
